0:20:30.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7864N, 111.9938, W, Speed (knots): , 3.50, Angle: 5.05, Altitude: 1484.10, Satellites: 10
0:20:33.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7864N, 111.9938, W, Speed (knots): , 3.06, Angle: 359.48, Altitude: 1484.60, Satellites: 10
0:20:35.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 0.88, Angle: 62.58, Altitude: 1487.10, Satellites: 10
0:20:38.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 1.08, Angle: 83.37, Altitude: 1489.40, Satellites: 10
0:20:40.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 1.73, Angle: 240.45, Altitude: 1491.30, Satellites: 10
0:20:42.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 1.34, Angle: 356.70, Altitude: 1492.60, Satellites: 10
0:20:45.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 3.40, Angle: 7.81, Altitude: 1493.20, Satellites: 10
0:20:47.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 2.99, Angle: 351.28, Altitude: 1493.30, Satellites: 10
0:20:49.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 1.20, Angle: 257.86, Altitude: 1493.90, Satellites: 10
0:20:51.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 0.52, Angle: 230.18, Altitude: 1494.40, Satellites: 10
0:20:53.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 0.22, Angle: 107.17, Altitude: 1494.80, Satellites: 10
0:20:55.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 0.96, Angle: 66.74, Altitude: 1495.40, Satellites: 10
0:20:58.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 1.26, Angle: 242.51, Altitude: 1497.20, Satellites: 10
0:21:0.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9939, W, Speed (knots): , 1.39, Angle: 269.26, Altitude: 1497.40, Satellites: 10
0:21:2.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9939, W, Speed (knots): , 0.46, Angle: 25.85, Altitude: 1497.50, Satellites: 10
0:21:5.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9939, W, Speed (knots): , 0.32, Angle: 299.04, Altitude: 1497.80, Satellites: 11
0:21:7.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9939, W, Speed (knots): , 0.70, Angle: 250.01, Altitude: 1498.40, Satellites: 11
0:21:9.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9939, W, Speed (knots): , 0.31, Angle: 264.03, Altitude: 1499.20, Satellites: 11
0:21:11.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9939, W, Speed (knots): , 1.03, Angle: 207.55, Altitude: 1499.10, Satellites: 11
0:21:14.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9939, W, Speed (knots): , 2.49, Angle: 65.66, Altitude: 1499.70, Satellites: 10
0:21:16.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 1.53, Angle: 38.65, Altitude: 1498.70, Satellites: 10
0:21:18.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7865N, 111.9938, W, Speed (knots): , 1.03, Angle: 324.81, Altitude: 1497.20, Satellites: 10
0:21:20.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9938, W, Speed (knots): , 0.81, Angle: 56.44, Altitude: 1496.80, Satellites: 10
0:21:23.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9938, W, Speed (knots): , 1.70, Angle: 69.79, Altitude: 1496.80, Satellites: 10
0:21:25.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9938, W, Speed (knots): , 0.30, Angle: 312.60, Altitude: 1497.00, Satellites: 10
0:21:27.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9938, W, Speed (knots): , 0.69, Angle: 65.51, Altitude: 1497.20, Satellites: 10
0:21:29.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9938, W, Speed (knots): , 1.15, Angle: 67.14, Altitude: 1497.40, Satellites: 10
0:21:31.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9938, W, Speed (knots): , 0.13, Angle: 25.07, Altitude: 1497.80, Satellites: 10
0:21:34.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9938, W, Speed (knots): , 0.19, Angle: 115.01, Altitude: 1499.10, Satellites: 10
0:21:36.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9938, W, Speed (knots): , 0.83, Angle: 229.66, Altitude: 1499.80, Satellites: 10
