23:25:27.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.17, Angle: 240.73, Altitude: 1484.60, Satellites: 4
23:25:28.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.06, Angle: 171.15, Altitude: 1484.20, Satellites: 4
23:25:31.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 221.58, Altitude: 1481.60, Satellites: 5
23:25:32.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.20, Angle: 307.19, Altitude: 1480.30, Satellites: 5
23:25:35.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.22, Angle: 320.53, Altitude: 1481.20, Satellites: 5
23:25:38.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.05, Angle: 293.00, Altitude: 1482.40, Satellites: 5
23:25:40.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 88.03, Altitude: 1483.00, Satellites: 5
23:25:42.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.11, Angle: 314.00, Altitude: 1483.90, Satellites: 5
23:25:44.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 299.91, Altitude: 1483.80, Satellites: 5
23:25:47.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 154.35, Altitude: 1482.80, Satellites: 5
23:25:48.984, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.06, Angle: 307.78, Altitude: 1482.50, Satellites: 6
23:25:52.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.29, Angle: 177.12, Altitude: 1482.30, Satellites: 5
23:25:54.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.05, Angle: 303.64, Altitude: 1482.30, Satellites: 5
23:25:56.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.11, Angle: 37.61, Altitude: 1481.70, Satellites: 8
23:25:58.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 236.09, Altitude: 1481.30, Satellites: 8
23:26:0.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.05, Angle: 277.92, Altitude: 1481.20, Satellites: 8
23:26:3.0, Date: 2/4/24, Fix: 1,  quality: 1, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 98.70, Altitude: 1481.20, Satellites: 9
