Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.,Charge,Comment
2024.04.02  20.29.04,Current device parameters,,,9 d., 10:38:16,,,,2.09 mR,None,None,None,17°C,98%
2024.04.02  20.29.04,Device power off,,,,,,,,None,None,None,,,
2024.04.02  20.28.19,Current device parameters,,,9 d., 10:37:31,,,,2.09 mR,None,None,None,16.9°C,98%
2024.04.02  20.26.19,Current device parameters,,,9 d., 10:35:31,,,,2.09 mR,None,None,None,16.8°C,98%
2024.04.02  20.26.13,Current data values,1083,677 cpm,,0:01:36,15 µR/h,20.80%,,None,None,None,,,
2024.04.02  20.24.37,Current data values,1080,675 cpm,,0:01:36,15.3 µR/h,19.20%,,None,None,None,,,
2024.04.02  20.23.19,Current device parameters,,,9 d., 10:32:31,,,,2.09 mR,None,None,None,16.7°C,98%
2024.04.02  20.23.01,Current data values,928,580 cpm,,0:01:36,14.8 µR/h,20.20%,,None,None,None,,,
2024.04.02  20.21.25,Current data values,969,606 cpm,,0:01:36,14.6 µR/h,19.40%,,None,None,None,,,
2024.04.02  20.20.19,Current device parameters,,,9 d., 10:29:31,,,,2.09 mR,None,None,None,16.5°C,98.20%
2024.04.02  20.19.49,Current data values,1029,643 cpm,,0:01:36,16.3 µR/h,20.10%,,None,None,None,,,
2024.04.02  20.18.13,Current data values,1054,659 cpm,,0:01:36,17.2 µR/h,19%,,None,None,None,,,
2024.04.02  20.17.19,Current device parameters,,,9 d., 10:26:31,,,,2.09 mR,None,None,None,16.4°C,98.20%
2024.04.02  20.16.37,Current data values,963,602 cpm,,0:01:36,15 µR/h,18.50%,,None,None,None,,,
2024.04.02  20.15.01,Current data values,1050,656 cpm,,0:01:36,17.4 µR/h,18.10%,,None,None,None,,,
2024.04.02  20.14.19,Current device parameters,,,9 d., 10:23:31,,,,2.09 mR,None,None,None,16.3°C,98.30%
2024.04.02  20.13.25,Current data values,1026,641 cpm,,0:01:36,17.2 µR/h,19.10%,,None,None,None,,,
2024.04.02  20.11.49,Current data values,1057,661 cpm,,0:01:36,16.8 µR/h,19.10%,,None,None,None,,,
2024.04.02  20.10.13,Current data values,1075,672 cpm,,0:01:36,17.2 µR/h,17.80%,,None,None,None,,,
2024.04.02  20.08.37,Current data values,1059,662 cpm,,0:01:36,17.1 µR/h,17.90%,,None,None,None,,,
2024.04.02  20.06.45,Current data values,1307,613 cpm,,0:02:08,14 µR/h,17%,,None,None,None,,,
2024.04.02  20.05.45,Current data values,1220,572 cpm,,0:02:08,10.4 µR/h,17%,,None,None,None,,,
2024.04.02  20.05.37,Current data values,267,334 cpm,,0:00:48,8.34 µR/h,43.10%,,None,None,None,,,
2024.04.02  20.05.17,Current data values,267,334 cpm,,0:00:48,7.56 µR/h,43.10%,,None,None,None,,,
2024.04.02  20.04.19,Current device parameters,,,9 d., 10:13:31,,,,2.08 mR,None,None,None,16.2°C,98.40%
2024.04.02  20.04.05,Current data values,486,304 cpm,,0:01:36,10 µR/h,31.20%,,None,None,None,,,
2024.04.02  20.02.29,Current data values,451,282 cpm,,0:01:36,9.38 µR/h,30.90%,,None,None,None,,,
2024.04.02  20.00.53,Current data values,460,288 cpm,,0:01:36,6.96 µR/h,30.70%,,None,None,None,,,
2024.04.02  19.59.17,Current data values,512,320 cpm,,0:01:36,9.19 µR/h,29.60%,,None,None,None,,,
2024.04.02  19.57.41,Current data values,526,329 cpm,,0:01:36,9.36 µR/h,29.20%,,None,None,None,,,
2024.04.02  19.56.05,Current data values,472,295 cpm,,0:01:36,7.87 µR/h,31.50%,,None,None,None,,,
2024.04.02  19.54.29,Current data values,477,298 cpm,,0:01:36,8.33 µR/h,34.40%,,None,None,None,,,
2024.04.02  19.52.53,Current data values,548,342 cpm,,0:01:36,8.48 µR/h,28.30%,,None,None,None,,,
2024.04.02  19.51.17,Current data values,589,368 cpm,,0:01:36,7.95 µR/h,31.70%,,None,None,None,,,
2024.04.02  19.50.19,Current device parameters,,,9 d., 9:59:31,,,,2.08 mR,None,None,None,16.1°C,98.50%
2024.04.02  19.49.41,Current data values,647,404 cpm,,0:01:36,8.16 µR/h,27.10%,,None,None,None,,,
2024.04.02  19.48.05,Current data values,732,458 cpm,,0:01:36,13.3 µR/h,23.90%,,None,None,None,,,
2024.04.02  19.47.19,Current device parameters,,,9 d., 9:56:31,,,,2.08 mR,None,None,None,16°C,98.70%
2024.04.02  19.46.29,Current data values,709,443 cpm,,0:01:36,9.7 µR/h,27.30%,,None,None,None,,,
