ROM 2nd floor,ROM 2nd floor
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,0.00
Chi Sqrd,0.00
Correlation Coefficient,1.0
---------------------,---------------------
,
ROM 2nd floor,ROM 1st Floor
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,-15.82
Chi Sqrd,0.77
Correlation Coefficient,-0.041221229161381746
---------------------,---------------------
,
ROM 2nd floor,ROM Basement
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,-27.39
Chi Sqrd,1.08
Correlation Coefficient,0.05980213377820056
---------------------,---------------------
,
ROM 2nd floor,Stadium Top
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,37.29
Chi Sqrd,5.28
Correlation Coefficient,-0.9140533081515401
---------------------,---------------------
,
ROM 2nd floor,Stadium Middle
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,29.62
Chi Sqrd,2.92
Correlation Coefficient,0.38821468779637286
---------------------,---------------------
,
ROM 2nd floor,Stadium Base
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,20.03
Chi Sqrd,0.63
Correlation Coefficient,0.6441124096046975
---------------------,---------------------
,
ROM 2nd floor,Ricks 2
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,19.45
Chi Sqrd,0.90
Correlation Coefficient,0.4669143729146719
---------------------,---------------------
,
ROM 2nd floor,Ricks 1
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,8.41
Chi Sqrd,0.25
Correlation Coefficient,0.1732344002500058
---------------------,---------------------
,
ROM 2nd floor,Ricks Basement
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,5.58
Chi Sqrd,0.12
Correlation Coefficient,0.24469405743450057
---------------------,---------------------
,
ROM 1st Floor,ROM 1st Floor
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,0.00
Chi Sqrd,0.00
Correlation Coefficient,0.9999999999999999
---------------------,---------------------
,
ROM 1st Floor,ROM Basement
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,-3.39
Chi Sqrd,0.04
Correlation Coefficient,-0.25925630591799986
---------------------,---------------------
,
ROM 1st Floor,Stadium Top
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,36.67
Chi Sqrd,11.00
Correlation Coefficient,-0.27032323345015963
---------------------,---------------------
,
ROM 1st Floor,Stadium Middle
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,32.73
Chi Sqrd,7.19
Correlation Coefficient,-0.9217760523860129
---------------------,---------------------
,
ROM 1st Floor,Stadium Base
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,26.64
Chi Sqrd,2.87
Correlation Coefficient,0.3951561679468489
---------------------,---------------------
,
ROM 1st Floor,Ricks 2
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,26.81
Chi Sqrd,3.45
Correlation Coefficient,0.44393149422619815
---------------------,---------------------
,
ROM 1st Floor,Ricks 1
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,19.68
Chi Sqrd,1.89
Correlation Coefficient,0.6756046152778371
---------------------,---------------------
,
ROM 1st Floor,Ricks Basement
=====================,=====================
Test,Value
---------------------,---------------------
Z-Score,17.56
Chi Sqrd,1.48
Correlation Coefficient,-0.5038817058466126
---------------------,---------------------
,
ROM Basement,ROM Basement
=====================,=====================
