Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.,Charge,Comment
2024.04.02  18.21.25,Current data values,969,606 cpm,,0:01:36,12.4 µR/h,23%,,None,None,None,,,
2024.04.02  18.23.01,Current data values,925,578 cpm,,0:01:36,13.4 µR/h,24.80%,,None,None,None,,,
2024.04.02  18.23.19,Current device parameters,,,9 d., 8:32:31,,,,2.07 mR,None,None,19.5°C,100%,
2024.04.02  18.24.37,Current data values,779,487 cpm,,0:01:36,9.09 µR/h,27%,,None,None,None,,,
2024.04.02  18.26.13,Current data values,717,448 cpm,,0:01:36,8.54 µR/h,29.40%,,None,None,None,,,
2024.04.02  18.26.19,Current device parameters,,,9 d., 8:35:31,,,,2.07 mR,None,None,19.4°C,100%,
2024.04.02  18.27.49,Current data values,684,428 cpm,,0:01:36,7.06 µR/h,31.10%,,None,None,None,,,
2024.04.02  18.28.19,Current device parameters,,,9 d., 8:37:31,,,,2.07 mR,None,None,19.3°C,100%,
2024.04.02  18.29.25,Current data values,503,314 cpm,,0:01:36,6.5 µR/h,35.70%,,None,None,None,,,
2024.04.02  18.30.19,Current device parameters,,,9 d., 8:39:31,,,,2.07 mR,None,None,19.1°C,100%,
2024.04.02  18.31.01,Current data values,533,333 cpm,,0:01:36,6.37 µR/h,33.90%,,None,None,None,,,
2024.04.02  18.32.19,Current device parameters,,,9 d., 8:41:31,,,,2.07 mR,None,None,18.9°C,100%,
2024.04.02  18.32.37,Current data values,575,359 cpm,,0:01:36,7.83 µR/h,33.20%,,None,None,None,,,
2024.04.02  18.34.13,Current data values,545,341 cpm,,0:01:36,5.08 µR/h,34.20%,,None,None,None,,,
2024.04.02  18.34.19,Current device parameters,,,9 d., 8:43:31,,,,2.07 mR,None,None,18.7°C,100%,
2024.04.02  18.35.19,Current device parameters,,,9 d., 8:44:31,,,,2.07 mR,None,None,18.6°C,100%,
2024.04.02  18.35.49,Current data values,559,349 cpm,,0:01:36,5.88 µR/h,34.70%,,None,None,None,,,
2024.04.02  18.36.19,Current device parameters,,,9 d., 8:45:31,,,,2.07 mR,None,None,18.5°C,100%,
2024.04.02  18.37.19,Current device parameters,,,9 d., 8:46:31,,,,2.07 mR,None,None,18.4°C,100%,
2024.04.02  18.37.25,Current data values,582,364 cpm,,0:01:36,9.57 µR/h,31.80%,,None,None,None,,,
2024.04.02  18.38.19,Current device parameters,,,9 d., 8:47:31,,,,2.07 mR,None,None,18.3°C,100%,
