Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.
ROM 2nd floor,,,,,,,,,,,,
2024.03.20  16.49.31,Current data values,776,485 cpm,,0:01:36,12.8 µR/h,23.10%,,None,None,None,
2024.03.20  16.46.19,Current data values,803,502 cpm,,0:01:36,12.7 µR/h,22.20%,,None,None,None,
2024.03.20  16.44.43,Current data values,755,472 cpm,,0:01:36,11.8 µR/h,23.90%,,None,None,None,
2024.03.20  16.39.55,Current data values,668,418 cpm,,0:01:36,10.6 µR/h,24.70%,,None,None,None,
2024.03.20  16.38.19,Current data values,646,404 cpm,,0:01:36,13.6 µR/h,23.70%,,None,None,None,
2024.03.20  16.35.07,Current data values,670,419 cpm,,0:01:36,10.8 µR/h,22.70%,,None,None,None,
2024.03.20  16.30.19,Current data values,724,452 cpm,,0:01:36,11.6 µR/h,23.10%,,None,None,None,
2024.03.20  16.27.07,Current data values,711,444 cpm,,0:01:36,12.1 µR/h,24%,,None,None,None,
2024.03.20  16.25.31,Current data values,759,474 cpm,,0:01:36,14.3 µR/h,23.50%,,None,None,None,
2024.03.20  16.23.39,Current data values,979,459 cpm,,0:02:08,13.8 µR/h,19.80%,,None,None,None,
ROM 1st Floor,,,,,,,,,,,,
2024.03.20  16.20.11,Current data values,1209,756 cpm,,0:01:36,21.3 µR/h,16.80%,,None,None,None,
2024.03.20  16.16.59,Current data values,1106,691 cpm,,0:01:36,16.5 µR/h,18.50%,,None,None,None,
2024.03.20  16.15.23,Current data values,1153,721 cpm,,0:01:36,19.1 µR/h,18.40%,,None,None,None,
2024.03.20  16.13.47,Current data values,1101,688 cpm,,0:01:36,19.5 µR/h,18.40%,,None,None,None,
2024.03.20  16.07.23,Current data values,1096,685 cpm,,0:01:36,15.7 µR/h,18.30%,,None,None,None,
